#,City,Country,Continent,System,Opening,Network length (km),Stations,Stations,Lines,Avg. station distance (m),Avg. line length,Stations per line,Daily ridership,Ridership per km,Annual ridership,Ridership year,Population,Usage,Length per resident,Fare (EUR),Tracks,Train width,Gauge,Power supply,Voltage,Rubber-tyred,Driverless,Driverless since,Platform screen doors,Aircon trains,Walk-through,Remarks
1,Shanghai,China,Asia,Metro,10 Apr 1995,632.1 km,394,284,15,"1,668 m",42.1,26.3,6.24 million,"9,860","2,276 million",2012,15 million,20.8 %,42.2 mm,0.34 EUR,right,3,1435,overhead wire,1500,,,,newer line 4 stations and refitted line 1 stations,yes,,Maglev and Line 22 not included. Stations* wrong
2,Beijing,China,Asia,Subway,1 Oct 1969,572.0 km,344,287,20,"1,765 m",28.6,17.2,6.74 million,"11,800","2,460 million",2012,11.1 million,30.3 %,51.5 mm,0.15 EUR,right,2.65,1435,third rail,825,,Yanfang line,2017,"PGDs on lines 5, 13. PSDs on lines 8, 10",yes,all lines,
3,London,United Kingdom,Europe,Underground,10 Jan 1863,402.0 km,270,270,11,"1,552 m",36.5,24.5,3.21 million,"7,980","1,171 million",2011,8.57 million,18.7 %,46.9 mm,2.75 EUR,left,"2.84, 2.64 (tube)",1435,third rail,"600, 750 (DLR)",,Docklands Light Rail,1987,Jubilee Line extension,"Circle, District, Hammersmith & City and Metropolitan lines","Metropolitan Line, DLR","DLR not included (31.4 km, 39 stations). East London Line removed (will be assigned to Overground). Overground: 86 km, 55 st."
4,Guangzhou,China,Asia,Metro,28 Jun 1999,386.0 km,229,205,13,"1,787 m",29.7,17.6,5 million,"13,000","1,825 million",2012,8.83 million,28.3 %,43.7 mm,,right,,1435,third rail,825,Zhujiang people mover,APM line (underground people mover),2010,yes,yes,yes,"APM included (3,9 km +9 stations)"
5,New York,USA,America,Subway,27 Oct 1904,380.2 km,473,426,27,852 m,14.1,17.5,4.53 million,"11,900","1,655 million",2012,19 million,11.9 %,20.0 mm,1.53 EUR,right,"2.98, 3.05, 2.68; 2.86 (PATH)",1435,third rail,"625, 650 (PATH)",,,,,yes,,"PATH not included (22.2 km, 13 stations). SIR not included"
6,Moscow,Russia,Europe,Metro,15 May 1935,346.2 km,206,163,12,"1,785 m",28.9,17.2,6.55 million,"18,900","2,389 million",2011,10.5 million,31.3 %,33.1 mm,0.50 EUR,right,"2.70, 2.86",1520,third rail,825,,,,,"lines 3, 5 since 2009",,"Monorail (6 stations, 4.7 km) not included."
7,Seoul,South Korea,Asia,Subway,15 Aug 1974,326.5 km,302,260,9,"1,114 m",36.3,33.6,6.9 million,"21,100","2,518 million",2012,9.8 million,35.2 %,33.3 mm,0.54 EUR,right,3.16,1435,overhead wire,1500,,,,"lines 2 and 9, planned for all lines",yes,yes,Only metro section.
8,Tokyo,Japan,Asia,Metro,30 Dec 1927,304.5 km,290,205,13,"1,099 m",23.4,22.3,8.5 million,"27,900","3,102 million",2011,35.7 million,11.9 %,8.5 mm,1.57 EUR,left,"2.87, 2.80; 2.60 (Ginza)","1067, 1435 (Ginza, Marunouchi, Asakusa, Oedo lines), 1372 (Shinjuku line)","overhead wire, third rail (Ginza, Marunouchi lines)","1500, 600 (Ginza, Marunouchi lines)",Yurikamome line,"Yurikamome Waterfront line, rubber-tyred",1995,"Marunouchi, Mita, Namboku, Yurakucho, Yurikamome lines",yes,yes,"According to Mr. Osamu Abe. Saitama, Yurikamone, Monorail, Yamanote, Chuo, Rinkai not incl."
9,Madrid,Spain,Europe,Metro,17 Oct 1919,293.0 km,289,239,13,"1,062 m",22.5,22.2,1.74 million,"5,940",635 million,2011,5.57 million,15.6 %,52.6 mm,1.00 EUR,left,"2.80 (lines 6-9), 2.30 (lines 2-4)",1445,overhead wire,600,,,,,yes,yes,"ML1, ML2, ML3 not included (27.8 km, 37 st.; Embajadores=Acacias)"
10,Shenzhen,China,Asia,Metro,28 Dec 2004,285.9 km,198,166,8,"1,505 m",35.7,24.8,"362,000","1,260",132 million,2009,7.58 million,2.4 %,37.7 mm,,right,3.09,1435,,,,,,yes,yes,yes,
